variant,outcome,outcome_label,expected_shape,estimator,income_form,observations,countries,linear_coefficient,linear_p_value,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,income_p05,income_p95,turning_point_inside_p05_p95,slope_at_p05,slope_at_p05_standard_error,slope_at_p05_one_sided_p,slope_at_p95,slope_at_p95_standard_error,slope_at_p95_one_sided_p,intersection_union_endpoint_p,observations_above_turning_point,countries_above_turning_point,r_squared
production_core,export_product_gini,Export Product Gini,concentration_u,pooled_year_fe,log_ppp,2035,83,0.11244866363095839,0.0043548305723966575,-0.007280095734992618,0.0006674092194610483,2259.775929757779,1700.993600753156,57871.344889259286,True,0.004135867682163272,0.007938178815945666,0.6988199718077551,-0.0472180703775935,0.007977814778400089,0.9999999983772444,0.9999999983772444,1871,80,0.5370355152352771
production_core,export_product_gini,Export Product Gini,concentration_u,between_country,log_ppp,83,83,0.11633466452239097,0.007018195898342198,-0.007516069255379303,0.00129162289617277,2296.319350885601,1936.417137576749,56945.946145365066,True,0.0025625005361534364,0.008131372200165523,0.6236713821459047,-0.04826511435445391,0.008472452878017114,0.9999999938929598,0.9999999938929598,76,76,0.5759705804616243
production_core,export_product_gini,Export Product Gini,concentration_u,country_year_fe,log_ppp,2035,83,0.004421610268657011,0.9158505333185736,-0.0007451338615023855,0.7466581276812722,19.433348045846895,1700.993600753156,57871.344889259286,False,-0.006664443381367893,0.009029468701456789,0.2302338226156243,-0.01192063225068359,0.010630545019200362,0.8689319576361589,0.8689319576361589,2035,83,0.9425587764109775
production_core,export_product_theil,Export Product Theil,concentration_u,pooled_year_fe,level_ppp,2035,83,-1.2797030325811052,3.2561777500329357e-15,0.13408270518839824,5.723644326648126e-07,47720.65982644844,1700.993600753156,57871.344889259286,True,-1.2340882678816778,0.15359746457767462,4.69571009945551e-16,0.27220626254742863,0.15935331874160516,0.04380024581223174,0.04380024581223174,290,17,0.6234796701759056
production_core,export_product_theil,Export Product Theil,concentration_u,between_country,level_ppp,83,83,-1.3837175305173397,1.678505650209913e-13,0.15032027438550183,1.3682100992484796e-06,46025.64544848906,1936.417137576749,56945.946145365066,True,-1.3255009794282746,0.17600308740382553,2.5152798549155355e-14,0.3283085194253177,0.17768898803202315,0.03232590077541864,0.03232590077541864,12,12,0.6629099848911773
production_core,export_product_theil,Export Product Theil,concentration_u,country_year_fe,level_ppp,2035,83,-0.2589786739351942,0.046814014699587514,0.023248841156065635,0.14978307570312366,55697.11457803705,1700.993600753156,57871.344889259286,True,-0.25106944792891533,0.1265726760165165,0.023650274064759107,0.010109667028461777,0.13609030077532047,0.47039122430411906,0.47039122430411906,143,9,0.953820631776208
production_core,export_product_theil,Export Product Theil,concentration_u,pooled_year_fe,log_ppp,2035,83,-1.4245366565991042,0.15683359056897198,0.026345014369103883,0.6277492023231512,551645552805.7716,1700.993600753156,57871.344889259286,False,-1.0325772278359442,0.20637131202577083,2.8150488288501973e-07,-0.846738979914094,0.1986615326986228,0.9999898796579741,0.9999898796579741,0,0,0.6636882106484634
production_core,export_product_theil,Export Product Theil,concentration_u,between_country,log_ppp,83,83,-1.568425307835221,0.16982393684529185,0.03312504026570931,0.5892340374096822,19126018907.647556,1936.417137576749,56945.946145365066,False,-1.0670052989038623,0.22290550744981988,8.472847567004795e-07,-0.8429963478612249,0.21471650958958935,0.999956831074713,0.999956831074713,0,0,0.6975476437702142
production_core,export_product_theil,Export Product Theil,concentration_u,country_year_fe,log_ppp,2035,83,-1.4343912496843427,0.33726483076799585,0.06084229552044761,0.46180236730247837,131633.98407044658,1700.993600753156,57871.344889259286,False,-0.5291834914831773,0.2967579661573752,0.037275591428786496,-0.10000074591126729,0.35774163489320354,0.6100822563139934,0.6100822563139934,0,0,0.95460554990973
production_core,export_product_hhi,Export Product HHI,concentration_u,pooled_year_fe,level_ppp,2035,83,-0.08291825574404965,1.6375877193177015e-06,0.010062450443997822,8.041370685125323e-05,41201.82067257274,1700.993600753156,57871.344889259286,True,-0.07949502298142244,0.016447857126797676,6.719344537461899e-07,0.03354725227108597,0.01305871889466475,0.0051002951933095675,0.0051002951933095675,395,23,0.2776265198590514
